idx,lat,lon
347,51.5169483,-0.0922937
348,51.5149235,-0.0829481
349,51.5161766,-0.0802224
350,51.5140075,-0.0827416
351,51.5177957,-0.0934661
352,51.5216748,-0.0956584
353,51.5142426,-0.1007506
354,51.5119637,-0.0987499
355,51.5120154,-0.0997345
356,51.5168039,-0.0854965
357,51.5156212,-0.0850235
358,51.5159164,-0.0953713
359,51.5167706,-0.0861141
360,51.5147182,-0.0890797
361,51.5133305,-0.0878146
362,51.5169994,-0.0867975
363,51.517308,-0.0887198
364,51.5106944,-0.0843115
365,51.5116705,-0.0837741
366,51.5188,-0.1009771
367,51.5150423,-0.0812414
368,51.5128393,-0.102554
369,51.5176062,-0.1051351
370,51.5158426,-0.1005018
371,51.5178158,-0.1047128
372,51.5179635,-0.107216
373,51.5173654,-0.107282
374,51.5127289,-0.0921984
375,51.5104399,-0.0908648
376,51.5108499,-0.0949106
377,51.5110385,-0.0954823
378,51.510884,-0.0951552
379,51.5113757,-0.080076
380,51.5105935,-0.0832127
381,51.5115034,-0.0800505
382,51.5119684,-0.082143
383,51.5117207,-0.0815753
384,51.5101138,-0.0817797
385,51.5115763,-0.0830001
386,51.512052,-0.0803852
387,51.5116116,-0.0821093
388,51.5114927,-0.0794953
389,51.5122904,-0.0795488
390,51.5113724,-0.0794895
391,51.5110353,-0.0792787
392,51.5126538,-0.0821557
393,51.5125704,-0.0803177
394,51.5095196,-0.0822797
395,51.5088236,-0.0810619
396,51.5091761,-0.0834937
397,51.5093476,-0.0827853
398,51.5090163,-0.0820797
399,51.5103018,-0.0848469
400,51.5086128,-0.0836588
401,51.5116962,-0.1062461
402,51.5118647,-0.1062409
403,51.5125451,-0.1062233
404,51.5125434,-0.1068739
405,51.512541,-0.1058646
406,51.5127808,-0.1058621
407,51.5135726,-0.1061545
408,51.5141884,-0.1062131
409,51.5142145,-0.1074535
410,51.5118759,-0.107989
411,51.5125407,-0.1079892
412,51.5125579,-0.1084028
413,51.5132818,-0.1083103
414,51.5133064,-0.107959
415,51.5139676,-0.1079282
416,51.5142159,-0.1079549
417,51.5122653,-0.0932295
418,51.5135071,-0.0816949
419,51.5122962,-0.1005535
420,51.5124455,-0.1005604
421,51.5125637,-0.0990858
422,51.512978,-0.0991158
423,51.5130509,-0.1005547
424,51.5132924,-0.0990866
425,51.5165829,-0.1029469
426,51.5181164,-0.091202
427,51.5120375,-0.1041938
428,51.5120443,-0.1049819
429,51.5130568,-0.1041911
430,51.5135904,-0.1051608
431,51.5137053,-0.1042946
432,51.5137246,-0.1038703
433,51.5141799,-0.1049908
434,51.5155979,-0.1063634
435,51.5169338,-0.1052591
436,51.5169626,-0.1063786
437,51.5169244,-0.0854197
438,51.5096517,-0.0892198
439,51.5164836,-0.0940584
440,51.5167512,-0.0939363
441,51.5145284,-0.0964485
442,51.5109012,-0.0862315
443,51.5172452,-0.1051399
444,51.5164469,-0.1113753
445,51.5156424,-0.1100355
446,51.5156781,-0.1093098
447,51.5112614,-0.1022331
448,51.5116067,-0.0994882
449,51.5121083,-0.1019531
450,51.5176961,-0.1070063
451,51.510924,-0.0948858
452,51.5111044,-0.0954538
453,51.5119765,-0.0957978
454,51.5122617,-0.0943201
455,51.518438,-0.1004887
456,51.5185183,-0.1004731
457,51.5187422,-0.1016917
458,51.5189468,-0.1010518
459,51.5134058,-0.0889457
460,51.5137237,-0.0891583
461,51.5161822,-0.0816966
462,51.5090978,-0.0812017
463,51.5107987,-0.0856694
464,51.510834,-0.0862011
465,51.5108784,-0.0860309
